"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"sbasic.jar","2017-12-11 20:29:40 SGT","2018-05-02 11:50:33 SGT","2018-05-02 11:50:33 SGT","2017-12-11 20:29:40 SGT","509809","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/sbasic.jar","f94513f979cbb69cfad45034dc120593","8c8a9d4fc915b48a3957631c756612d7d2807b5e4204b63d1bb9b12324b27763","application/java-archive","jar"
"scalc.jar","2017-12-11 20:46:44 SGT","2018-05-02 11:50:33 SGT","2018-05-02 11:50:33 SGT","2017-12-11 20:46:44 SGT","671877","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/scalc.jar","819136be189e23f6cfa050f33a7df061","ad31b6c2674b83aeef58fb609ba94a4de1d284063215a4ee5566d7d60caafaf3","application/java-archive","jar"
"shared.jar","2017-12-11 20:15:06 SGT","2018-05-02 11:50:33 SGT","2018-05-02 11:50:33 SGT","2017-12-11 20:15:06 SGT","1796404","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/shared.jar","53f3e41eed28fcb3be63cbddeb627aaf","040e5bc442009cbd0ccd5c10772ab03e1e7e912753da4551d3e0a218dcd7bbc0","application/java-archive","jar"
"schart.jar","2017-12-11 20:21:16 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:21:16 SGT","114392","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/schart.jar","f2ceb28d11e8d78dac619372c4d2dad0","70a7266fce3778e8a188a1f1aaab72dae0efa6b5f88b6237aef56b158a8e3d86","application/java-archive","jar"
"sdatabase.jar","2017-12-11 19:43:06 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 19:43:06 SGT","2080","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/sdatabase.jar","003d25e336ed14ec884b91c4e37fa22a","c4f0d29610569f86306039c7252c5238f25aba774b6c627d38f640d512cff7d5","application/java-archive","jar"
"sdraw.jar","2017-12-11 20:00:04 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:00:04 SGT","56265","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/sdraw.jar","c4e6f3dee0d27db538a73cc2daec5b39","b8679a5b2e257024c909ad89e3695115d167c657d8c6c10b345873f50e8dbf85","application/java-archive","jar"
"simpress.jar","2017-12-11 19:56:06 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 19:56:06 SGT","357185","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/simpress.jar","9040541ba40b0d367cc4b1f5928681bf","37927ea6eb2d8203c14bb1d828ac2623222d6fde8500d5208ff5cdb109281076","application/java-archive","jar"
"smath.jar","2017-12-11 20:35:50 SGT","2018-05-02 11:50:34 SGT","2018-05-02 11:50:34 SGT","2017-12-11 20:35:50 SGT","158450","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/smath.jar","cc73c493885247408e079bc26074937f","c3118f99ae99f079c1567cbeba5c00cba017d44ad8d1ca29d3ca1b33c036df99","application/java-archive","jar"
"swriter.jar","2017-12-11 20:13:14 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 20:13:14 SGT","727321","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/help/en/swriter.jar","e7d64c837356194a5d5e4219d263d701","98e22d69aabfae8257193846ac0179a81c1ae157c32a93d798407cf9f7ba7be1","application/java-archive","jar"
"officebean.jar","2017-12-11 18:32:32 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 18:32:32 SGT","46510","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/officebean.jar","c2b8ab7818cc837aedc359e72a4ba9b2","dda34d4b61a3ac5cddb6a9175602d4328552ed491fd3f18da3a4e9b311ba5473","application/java-archive","jar"
"agenda.jar","2017-12-11 18:54:40 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 18:54:40 SGT","55005","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/agenda.jar","7bbfdfd147f40b6fcf425a51d7181169","eb6336413687baeaf53ff1a460309bc40459f6e2c49901134dc080f2892f3d1f","application/java-archive","jar"
"bsh.jar","2017-12-11 17:27:18 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 17:27:18 SGT","284844","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/bsh.jar","f18ba0fcc12bc132434a0d1ba6c1eaaa","7ab45b464df4ea9650462f1c8fce4b6c11ae8f0006dca665f18e994d3bc466c3","application/java-archive","jar"
"commonwizards.jar","2017-12-11 18:48:54 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 18:48:54 SGT","312291","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/commonwizards.jar","028b6a6daca62bb8ab397007d894e7c4","e5bfa89ff5f0ac63a7dea1c31202dd94f56eed86205de03fc2fec56bd893251e","application/java-archive","jar"
"fax.jar","2017-12-11 19:13:36 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 19:13:36 SGT","27982","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/fax.jar","222f30e07dac16f8f2d18e06461ca52c","7234768a09001b10309f35cce1200ff9d87d0b24748ff671edcb02958138de92","application/java-archive","jar"
"form.jar","2017-12-11 18:51:34 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 18:51:34 SGT","49378","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/form.jar","659c4fd258c511127b1ee527bfb420f1","4ef03641989c4e95d4c370aabd6cc54a427a67fd9a6c69567d329ff5779571fd","application/java-archive","jar"
"hsqldb.jar","2017-12-11 17:27:38 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 17:27:38 SGT","747163","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/hsqldb.jar","bfc3d9171d5681f8a6297cbcda5cf2d5","123bb778725cdcda98e54f79df83f193a57f8c8156c85542fdd75f2926de61d4","application/java-archive","jar"
"java_uno.jar","2017-12-11 18:18:46 SGT","2018-05-02 11:50:36 SGT","2018-05-02 11:50:36 SGT","2017-12-11 18:18:46 SGT","4304","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/java_uno.jar","424bbc8e17a5020a023631f217b879a7","f405c060f004096341bf63aa941edfe6c06f562fa93acf9d034f963effe22ef1","application/java-archive","jar"
"java_uno_accessbridge.jar","2017-12-11 21:58:44 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 21:58:44 SGT","252045","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/java_uno_accessbridge.jar","837339fec9bdf5e639daf2b1251e5ee5","bdd444df8d83456a24dc530814384e2de5b6706dcb65d7c40034ffa78c813da9","application/java-archive","jar"
"js.jar","2017-12-11 17:39:00 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 17:39:00 SGT","1043070","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/js.jar","3fa3badaadc80bd65e24be66b709690a","12a6ff3a353b4e5723f118c7ad5a68f413dcd8ceebeb8fefb056848376f8ab90","application/java-archive","jar"
"juh.jar","2017-12-11 18:31:26 SGT","2018-05-02 11:50:36 SGT","2018-05-02 11:50:36 SGT","2017-12-11 18:31:26 SGT","59170","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/juh.jar","14a20f39e54fa0ea92811dbcac0707e6","14cfe3f27a44919b5980f5196e3a7a9bfce8014dee53c8ee069898608c0cbf09","application/java-archive","jar"
"jurt.jar","2017-12-11 18:11:50 SGT","2018-05-02 11:50:36 SGT","2018-05-02 11:50:36 SGT","2017-12-11 18:11:50 SGT","113422","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/jurt.jar","900f5406116a2754103464f44f3ae82f","d9e140179b363e57d1dba339557987bfcefb6b24f20dd8e6bb390f202f15f252","application/java-archive","jar"
"letter.jar","2017-12-11 19:13:04 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 19:13:04 SGT","43909","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/letter.jar","d547df2473b671762e39254c853024f4","58c142501b83b59c656e0f702772c0bdb6ae4aa1298a548f7cd64febc815c4c1","application/java-archive","jar"
"lucene-analyzers-2.9.4-dev.jar","2017-12-11 17:42:06 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 17:42:06 SGT","202216","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/lucene-analyzers-2.9.4-dev.jar","8b04b22444de251adb53dc8f051b3983","5970fb75a088db8a6e920c0eb3449d4d12109cef7e8cb591960e69dcc398df6b","application/java-archive","jar"
"lucene-core-2.9.4-dev.jar","2017-12-11 17:42:06 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 17:42:06 SGT","1118404","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/lucene-core-2.9.4-dev.jar","af5d9cfa486edfdc2791318e7914669b","4dbde4a5abf9d66b1553660fcbfa5f1ec06103bba3300f7e00eeb7ae83be5a4e","application/java-archive","jar"
"LuceneHelpWrapper.jar","2017-12-11 18:46:48 SGT","2018-05-02 11:50:35 SGT","2018-05-02 11:50:35 SGT","2017-12-11 18:46:48 SGT","12693","Allocated","Allocated","unknown","/img_202.dd/Program Files (x86)/OpenOffice 4/program/classes/LuceneHelpWrapper.jar","06a87460c7f274633fd3a1f32317fb9f","343db8d118a946366028293752b807067f85e1e3e05af1438bf4f0a193d44a37","application/java-archive","jar"
