"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"SmsInterceptStore.db","2017-05-09 07:51:50 SGT","2017-05-09 07:51:50 SGT","2017-05-09 07:51:14 SGT","2017-05-09 07:51:14 SGT","196608","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/SmsRouter/MessageStore/SmsInterceptStore.db","bc27dc2d1e898c9d582f7a34d30a66c5","f01952bab70e7b402359f2feba91d9f3c183e1d9f001669e115b2d07184c5b2b","application/octet-stream","db"
"qmgr.db","2018-07-11 08:09:40 SGT","2018-07-11 08:09:40 SGT","2017-05-09 07:54:18 SGT","2017-05-09 07:54:18 SGT","786432","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Network/Downloader/qmgr.db","56e8b13a4b2b1aeff653940f35bd5016","845295f7a7b10cb8f11304a8c3797ca83cf03a1be244cace3df9cdd565b39f67","application/octet-stream","db"
"cversions.2.db","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","16384","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Windows/Caches/cversions.2.db","f50b8221390febea673be698a6839744","de800ec458c404e412158787a7bc6660fe54a2bc3b6903b31d07a661325056f0","application/octet-stream","db"
"{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000001.db","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","286344","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Windows/Caches/{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000001.db","50f29f5241b4d6bb00256df830b7d246","f94f6ce5f54942fcaf8860dd9dc5f60c1ffa2d2b75eda8305665a02ba16d98d7","application/octet-stream","db"
"{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000001.db","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","2017-05-09 07:44:50 SGT","594896","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Windows/Caches/{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000001.db","6706caf5ce7db7e637ae6680e0fe5a53","ae685a8fcb7ac161299a12721a4b57224096804c033b1261d1e63d4ff3dd0437","application/octet-stream","db"
"mpenginedb.db","2018-07-10 10:33:05 SGT","2018-07-10 10:33:05 SGT","2018-01-09 07:37:55 SGT","2018-01-09 07:37:55 SGT","913408","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Windows Defender/Scans/mpenginedb.db","f477fcd0d2e7ba7f02e2cc87ba05a749","6b4a4e27cdfae08105f4e2155d00077f543d2d90ef00131e21b8927689db105c","application/octet-stream","db"
"IconCache.db","2018-07-11 08:16:37 SGT","2018-07-11 08:16:37 SGT","2018-05-02 11:20:01 SGT","2018-05-02 11:20:01 SGT","34205","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/IconCache.db","4f73e5dcdd7fde1c73efffd54d7ecd9b","d08d7d6889b540dc87afe28d6a4bf2d7ef029df443cca890d715a2a663e26166","application/octet-stream","db"
"cversions.1.db","2018-01-09 14:07:44 SGT","2018-01-09 14:07:44 SGT","2018-01-09 14:07:44 SGT","2018-01-09 14:07:44 SGT","16384","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Microsoft/Windows/Caches/cversions.1.db","310d1f72da08c9867a10f8512665fb28","73ac9a641d99b8f4a951ff839ffaba7d5b95d4219ad25f6209850902b96dae4e","application/octet-stream","db"
"cversions.3.db","2017-05-09 08:09:32 SGT","2017-05-09 08:09:32 SGT","2017-05-09 08:09:32 SGT","2017-05-09 08:09:32 SGT","16384","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Microsoft/Windows/Caches/cversions.3.db","6d3d82abf00823975079fd16dd8e7bbe","5d4658d9b7f4baf19a4cc3279360f8b76ee0e747224a9d173244e2f065a1d125","application/octet-stream","db"
"{31079DB9-B905-4D30-88C9-B63C603DA134}.3.ver0x0000000000000001.db","2017-05-09 08:18:12 SGT","2017-05-09 08:18:12 SGT","2017-05-09 08:18:12 SGT","2017-05-09 08:18:12 SGT","413432","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Microsoft/Windows/Caches/{31079DB9-B905-4D30-88C9-B63C603DA134}.3.ver0x0000000000000001.db","24a74b66067bcf69d17b3258b50a8fc8","e05df44a97c241888edf5efe3aeb117a4fc4d9bd3bd95f879c4c5207685c4df0","application/octet-stream","db"
