"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"Journal.doc","2018-07-11 08:16:20 SGT","2018-07-11 08:16:20 SGT","2018-05-02 12:23:52 SGT","2018-05-02 12:23:52 SGT","50176","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Journal.doc","c53b7d63c8a0787b897584819a4f8d0f","7285b7e39f0f8f5ff21ea9e102673067355df894cf21687726d043242f54523c","application/msword","doc"
"#3276.doc","2017-06-14 11:08:28 SGT","2018-05-03 07:57:25 SGT","2018-05-03 07:57:25 SGT","2018-05-03 07:57:25 SGT","17408","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#3276.doc","121956815de6276ddb5f1978e7431149","b2e7d31cf72c8e65f5a882ee5ee73cc675478501f40d2f9d3c6f5aa68b0bd80a","application/msword","doc"
"#3295.doc","2017-06-21 09:05:56 SGT","2018-05-03 07:57:25 SGT","2018-05-03 07:57:25 SGT","2018-05-03 07:57:25 SGT","17408","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#3295.doc","0f3ad80e8bb825cc303873a47c84a660","9b884769fc9e0c75340e0aa15f4a34e19f71ded4f4be08dbc76760c267ee52c9","application/msword","doc"
"#3840.doc","2017-07-27 14:26:50 SGT","2018-05-03 07:57:25 SGT","2018-05-03 07:57:25 SGT","2018-05-03 07:57:25 SGT","17408","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#3840.doc","6f36f7cde31efc87d3edeb2d80060591","fa151df382b1b40f24421f7c215f7eb104b74a8bb15380c49ff9b7fadeee1f7b","application/msword","doc"
"#4373.doc","2018-05-02 15:11:34 SGT","2018-05-03 08:17:27 SGT","2018-05-03 07:57:24 SGT","2018-05-03 07:57:24 SGT","33280","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#4373.doc","e2158df4e441de81ceac43747e3e9dd4","11f48615fa00bc117b1b9f78dfc2282c3eb9d29e46be6b0f8d379cb1cc4606f3","application/msword","doc"
"#4379.doc","2018-05-03 08:23:27 SGT","2018-05-03 08:23:29 SGT","2018-05-03 08:23:27 SGT","2018-05-03 08:23:25 SGT","19456","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#4379.doc","8f6962dbdbf4d5941d926c31e7a92d22","753c4aa6bf25c67751a5a90e68bb4f51aeeb094e7b1bee578107c61d5c6a665d","application/msword","doc"
"#4980.doc","2018-05-16 07:24:47 SGT","2018-05-16 07:24:49 SGT","2018-05-16 07:22:13 SGT","2018-05-16 07:22:11 SGT","19968","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#4980.doc","9f3b28dccfb811c1a269c3d597b75bc1","7d88751450359853eee0337dbbb6b6f514f1d726f3fa2054f891e7c058de27bd","application/msword","doc"
"#5248.doc","2018-07-02 09:01:28 SGT","2018-07-02 09:01:31 SGT","2018-07-02 08:59:31 SGT","2018-07-02 08:59:29 SGT","19968","Allocated","Allocated","unknown","/img_202.dd/Users/computer/Documents/Work/#5248.doc","3cc723203d57063ce1e13ee8dcd562ba","77fa41c3bf878eba75fc06ae91d91c6ecb3e228871d97ab3874ab1c2d8ac5240","application/msword","doc"
"MsoIrmProtector.doc","2017-03-19 04:58:52 SGT","2017-05-10 01:35:49 SGT","2017-03-19 04:58:52 SGT","2017-03-19 04:58:52 SGT","24064","Allocated","Allocated","unknown","/img_202.dd/Windows/SysWOW64/MSDRM/MsoIrmProtector.doc","33e940fbeb47478645b849efc85bab08","cebf64bfc7cd3b13a05e553a4a7000a69c1c2cca2a04299b6bce4cf04ab005a4","application/msword","doc"
"MsoIrmProtector.doc","2017-03-19 04:58:04 SGT","2017-05-10 01:35:49 SGT","2017-03-19 04:58:04 SGT","2017-03-19 04:58:04 SGT","24064","Allocated","Allocated","unknown","/img_202.dd/Windows/WinSxS/amd64_microsoft-windows-r..t-office-protectors_31bf3856ad364e35_10.0.15063.0_none_1edf09732e4b6f4e/MsoIrmProtector.doc","33e940fbeb47478645b849efc85bab08","cebf64bfc7cd3b13a05e553a4a7000a69c1c2cca2a04299b6bce4cf04ab005a4","application/msword","doc"
