"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"Etag.txt","2018-01-09 06:52:56 SGT","2018-01-09 06:52:56 SGT","2018-01-09 06:52:56 SGT","2017-05-09 09:57:03 SGT","72","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/DataMart/PaidWiFi/NetworksCache/Etag.txt","efbd1f6a4cfbdc21e677fbe59ba4e52d","a5c6e4f30386b88d968c50ef87190c36510ccdae10e22a77cef1183b1b254d39","text/plain","txt"
"Etag.txt","2018-07-11 08:10:25 SGT","2018-07-11 08:10:25 SGT","2018-07-11 08:10:25 SGT","2017-05-09 09:57:03 SGT","72","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/DataMart/PaidWiFi/Rules/Etag.txt","fd2df67e8c8c77d3b27d23950c4121b7","4dcc7720bac75c843fc5e0e41f6704cc96848f0e14f5d11d61b2cdfe750308a4","text/plain","txt"
"osver.txt","2018-07-02 07:59:45 SGT","2018-07-02 07:59:45 SGT","2017-05-09 07:44:25 SGT","2017-05-09 07:44:25 SGT","10","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Diagnosis/osver.txt","81533ceb56ff577ccd526edae5e56493","d5bcdd24a9716e7ae4637b4480812d75007deaa926941fe6a5bf9e3e584bfef7","text/plain","txt"
"NisLog.txt","2018-05-02 12:10:28 SGT","2018-07-03 09:11:50 SGT","2017-05-09 07:45:19 SGT","2017-05-09 07:45:19 SGT","355354","Allocated","Allocated","unknown","/img_202.dd/ProgramData/Microsoft/Windows Defender/Network Inspection System/Support/NisLog.txt","bec7b4ae43efac078bd12cb500aab766","6ff568a186bfa5b9aa1c071d83c1431caeff2078d00dd89cb19fee5be3658841","text/plain","txt"
"brndlog.txt","2017-05-09 08:09:35 SGT","2017-05-09 08:09:35 SGT","2017-05-09 08:09:34 SGT","2017-05-09 08:09:34 SGT","6575","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Microsoft/Internet Explorer/brndlog.txt","4db6816e0f079b90b400fd4bed0e65d4","709b2dffc80ef835412c62071f42bfe80952908ec557a0b12dfe6074870d2bed","text/plain","txt"
"ThirdPartyNotices.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_202.dd/Users/computer/AppData/Local/Microsoft/OneDrive/17.3.7076.1026/ThirdPartyNotices.txt","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","application/octet-stream","txt"
"ThirdPartyNotices.txt","2018-07-02 08:07:10 SGT","2018-07-02 08:07:10 SGT","2018-07-02 08:07:10 SGT","2018-07-02 08:07:10 SGT","49129","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Microsoft/OneDrive/18.091.0506.0007/ThirdPartyNotices.txt","20e6e689fc2eee0f158aef184289bed3","44a7b7572c14f48c5fd0a757be8620d33332054bb93acc338e29da7e40624f6e","text/plain","txt"
"LogFile_July_2_2018__8_44_46.txt","2018-07-02 08:44:46 SGT","2018-07-02 08:44:46 SGT","2018-07-02 08:44:46 SGT","2018-07-02 08:44:46 SGT","281","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Packages/Microsoft.XboxGameOverlay_8wekyb3d8bbwe/LocalState/DiagOutputDir/LogFile_July_2_2018__8_44_46.txt","a59aeaee7ac5fef0bb9655c7a820c957","f3af4aa31e611e0241e5b0d13f00c9d66475c96c726e718a6d1c54062fdcc25d","text/plain","txt"
"LogFile_June_18_2018__8_39_34.txt","2018-06-18 08:39:34 SGT","2018-06-18 08:39:34 SGT","2018-06-18 08:39:34 SGT","2018-06-18 08:39:34 SGT","281","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Packages/Microsoft.XboxGameOverlay_8wekyb3d8bbwe/LocalState/DiagOutputDir/LogFile_June_18_2018__8_39_34.txt","4aebc30f0b3a656addbbf09a4e9e5350","bbb9c4e7ce03c48a8390000cc2f8b09448c8d412c5d687415fe330147259bf8b","text/plain","txt"
"LogFile_June_5_2018__10_56_3.txt","2018-06-05 10:56:04 SGT","2018-06-05 10:56:04 SGT","2018-06-05 10:56:03 SGT","2018-06-05 10:56:03 SGT","281","Allocated","Allocated","unknown","/img_202.dd/Users/computer/AppData/Local/Packages/Microsoft.XboxGameOverlay_8wekyb3d8bbwe/LocalState/DiagOutputDir/LogFile_June_5_2018__10_56_3.txt","76d3d7e762a932e1d688451ce7266fe8","64f2b810cbbfd705cb8800d4e63a14c8a15bcfea3f1a31270a7f1be0afa4fdf2","text/plain","txt"
